date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-16,AC,,state,75047,1395,True,894470,12,8390.10811,0.0186
2021-04-16,AL,,state,164404,3921,True,3351543,27,4905.32271,0.0238
2021-04-16,AM,,state,362401,12352,True,4207714,13,8612.77644,0.0341
2021-04-16,AP,,state,102836,1456,True,861773,16,11933.07286,0.0142
2021-04-16,BA,,state,855871,17134,True,14930634,29,5732.31519,0.02
2021-04-16,CE,,state,609849,16075,True,9187103,23,6638.09908,0.0264
2021-04-16,DF,,state,364452,7125,True,3055149,53,11929.10722,0.0195
2021-04-16,ES,,state,413996,8587,True,4064052,32,10186.77911,0.0207
2021-04-16,GO,,state,523006,13565,True,7113540,52,7352.26062,0.0259
2021-04-16,MA,,state,254189,6783,True,7114598,21,3572.78092,0.0267
2021-04-16,MG,,state,1266271,29538,True,21292666,31,5946.98193,0.0233
2021-04-16,MT,,state,341074,8997,True,3526220,51,9672.51051,0.0264
2021-04-16,PA,,state,450277,11751,True,8690745,15,5181.10933,0.0261
2021-04-16,PB,,state,277793,6387,True,4039277,25,6877.29512,0.023
2021-04-16,PE,,state,378852,13102,True,9616621,26,3939.55424,0.0346
2021-04-16,PI,,state,225797,4731,True,3281480,22,6880.95006,0.021
2021-04-16,PR,,state,902626,20182,True,11516840,41,7837.44499,0.0224
2021-04-16,RJ,,state,697763,40716,True,17366189,33,4017.93969,0.0584
2021-04-16,RO,,state,203300,4737,True,1796460,11,11316.70062,0.0233
2021-04-16,RS,,state,915558,22977,True,11422973,43,8015.05878,0.0251
2021-04-16,SC,,state,852350,12480,True,7252502,42,11752.4959,0.0146
2021-04-16,SE,,state,188659,3903,True,2318822,28,8135.98456,0.0207
2021-04-16,SP,,state,2722077,87326,True,46289333,35,5880.5708,0.0321
2021-04-15,AC,,state,74664,1383,False,894470,12,8347.28946,0.0185
2021-04-15,AL,,state,163807,3898,False,3351543,27,4887.51002,0.0238
2021-04-15,AM,,state,361628,12337,False,4207714,13,8594.40542,0.0341
2021-04-15,AP,,state,102531,1446,False,861773,16,11897.68071,0.0141
2021-04-15,BA,,state,852458,17000,False,14930634,29,5709.45614,0.0199
2021-04-15,DF,,state,363344,7049,False,3055149,53,11892.84058,0.0194
2021-04-15,ES,,state,411584,8507,False,4064052,32,10127.42947,0.0207
2021-04-15,GO,,state,520713,13460,False,7113540,52,7320.02632,0.0258
2021-04-15,MA,,state,252848,6737,False,7114598,21,3553.93235,0.0266
2021-04-15,MG,,state,1257064,29105,False,21292666,31,5903.74169,0.0232
2021-04-15,MS,,state,235010,5099,True,2809394,50,8365.14921,0.0217
2021-04-15,MT,,state,338597,8937,False,3526220,51,9602.26532,0.0264
2021-04-15,PA,,state,448256,11635,False,8690745,15,5157.85471,0.026
2021-04-15,PB,,state,276669,6347,False,4039277,25,6849.46836,0.0229
2021-04-15,PE,,state,376983,13051,False,9616621,26,3920.11914,0.0346
2021-04-15,PI,,state,224790,4693,False,3281480,22,6850.26269,0.0209
2021-04-15,PR,,state,896931,19986,False,11516840,41,7787.99567,0.0223
2021-04-15,RJ,,state,693046,40429,False,17366189,33,3990.77771,0.0583
2021-04-15,RN,,state,212802,5084,True,3534165,24,6021.28084,0.0239
2021-04-15,RO,,state,201848,4704,False,1796460,11,11235.875,0.0233
2021-04-15,RR,,state,93259,1435,True,631181,14,14775.31801,0.0154
2021-04-15,RS,,state,910522,22798,False,11422973,43,7970.97218,0.025
2021-04-15,SC,,state,848672,12409,False,7252502,42,11701.78236,0.0146
